# Name, date, frequency, T_b_10, err_Tb, Doppler factor, Speed, error Speed, Lorentz factor , Viewing angle 
J1340+3754,2006-08-12,4844.70875,2.1257242263749228,0.003940381926783948,0.42514484527498453,0.01438224212653542,0.862222247258569,-,-
J1340+3754,2011-05-15,8354.99,0.21467013095245563,0.0003342481049579026,0.04293402619049113,0.01438224212653542,0.862222247258569,-,-
J1340+3754,2019-01-15,4344.0,2.9226379540327274,0.0025504611559106606,0.5845275908065455,0.01438224212653542,0.862222247258569,-,-
J1340+3754,2019-01-15,7624.0,0.2595250684485341,0.0007993755124822807,0.05190501368970682,0.01438224212653542,0.862222247258569,-,-
J1354-0206,1994-08-12,2266.89625,145.55025971265044,0.3299298215540935,29.110051942530088,0.5929313290451828,0.40470119025067547,14.578240762561736,0.0802422750962638
J1354-0206,1994-08-12,8336.89625,15.244719487793985,0.033340249365703296,3.048943897558797,0.5929313290451828,0.40470119025067547,1.7461171489494391,7.80835812191474
J1354-0206,1995-04-19,2266.89625,170.942855138909,0.49217558322654537,34.188571027781805,0.5929313290451828,0.40470119025067547,17.114051879087402,0.05816155022114352
J1354-0206,1995-04-19,8336.89625,18.50286091880838,0.056758199002072414,3.700572183761676,0.5929313290451828,0.40470119025067547,2.032902116355924,5.193909047411925
J1354-0206,1996-03-13,2266.89625,43.938022824414816,0.3430047130352905,8.787604564882963,0.5929313290451828,0.40470119025067547,4.470704215783159,0.8872448004061223
J1354-0206,1996-03-13,8336.89625,25.455100670992728,0.07625085262269525,5.091020134198546,0.5929313290451828,0.40470119025067547,2.6782504143515093,2.6867816063965053
J1354-0206,1996-06-12,15363.24,2.7831981823131384,0.0010985153680812577,0.5566396364626277,0.5929313290451828,0.40470119025067547,-,-
J1354-0206,1997-01-10,2268.3025,313.5846113366134,0.4864777777478897,62.71692226732269,0.5929313290451828,0.40470119025067547,31.369236276255254,0.017276634181771913
J1354-0206,1997-01-10,8338.3025,18.330465546278404,0.03549998327541381,3.666093109255681,0.5929313290451828,0.40470119025067547,2.0173800563535633,5.296459134930691
J1354-0206,1997-05-07,2269.474375,509.2230081800274,0.8616158034895646,101.84460163600549,0.5929313290451828,0.40470119025067547,50.928936258366065,0.006551008269927187
J1354-0206,1997-05-07,8339.474375,13.504251398632677,0.020423290694654418,2.7008502797265352,0.5929313290451828,0.40470119025067547,1.6006366327232373,10.116721411677691
J1354-0206,1999-03-08,2292.474375,56.25408941215917,0.0529970807354866,11.250817882431834,0.5929313290451828,0.40470119025067547,5.685474243804886,0.5395186553536014
J1354-0206,1999-03-08,8646.224375,6.533282941988223,0.010052185975695075,1.3066565883976446,0.5929313290451828,0.40470119025067547,1.1705137478843681,48.23666104007475
J1354-0206,2000-03-13,2292.474375,46.55020874365051,0.06608821781247964,9.310041748730102,0.5929313290451828,0.40470119025067547,4.727607421098187,0.7897460247606692
J1354-0206,2000-03-13,8646.224375,9.509279834398747,0.012477919899802332,1.9018559668797494,0.5929313290451828,0.40470119025067547,1.3062565636532109,21.775002703771445
J1354-0206,2001-04-09,2302.474375,80.5047576670752,0.11277389046029158,16.10095153341504,0.5929313290451828,0.40470119025067547,8.092447433976945,0.26274747283079186
J1354-0206,2001-04-09,8646.224375,8.40313624325697,0.007826006380251728,1.680627248651394,0.5929313290451828,0.40470119025067547,1.2424157448428557,28.588384558786586
J1354-0206,2002-01-31,2301.974375,124.71273880427661,0.15841867756734188,24.942547760855323,0.5929313290451828,0.40470119025067547,12.498367495200336,0.10932708413555686
J1354-0206,2002-01-31,8645.724375,13.790634538322275,0.017250257585994196,2.758126907664455,0.5929313290451828,0.40470119025067547,1.6240789310402317,9.670940540370355
J1354-0206,2002-05-14,2301.974375,71.21545183062779,0.07346563278877616,14.243090366125557,0.5929313290451828,0.40470119025067547,7.168991612391688,0.3359958976904481
J1354-0206,2002-05-14,8645.724375,9.742969014470496,0.01035543752859202,1.9485938028940992,0.5929313290451828,0.40470119025067547,1.321102777293495,20.63805384500001
J1354-0206,2002-07-24,2302.474375,86.21663800445266,0.10494474485668327,17.24332760089053,0.5929313290451828,0.40470119025067547,8.66085483109336,0.2290133043163131
J1354-0206,2002-07-24,8646.224375,10.020512445080744,0.008971016935368873,2.0041024890161485,0.5929313290451828,0.40470119025067547,1.3392514546696803,19.39704289703304
J1354-0206,2003-09-17,2309.474375,29.336907798037835,0.04449768627231314,5.867381559607567,0.5929313290451828,0.40470119025067547,3.0488671619115877,2.010704175247518
J1354-0206,2004-05-08,2309.474375,109.5145773249617,0.2607594061369948,21.90291546499234,0.5929313290451828,0.40470119025067547,10.98231133194332,0.14182072193517947
J1354-0206,2004-05-27,2309.474375,127.10317627946064,0.3511063836902706,25.42063525589213,0.5929313290451828,0.40470119025067547,12.73690169139212,0.10524942862238205
J1354-0206,2004-05-27,8646.224375,8.20156405526717,0.03169167294678796,1.6403128110534337,0.5929313290451828,0.40470119025067547,1.2321411049863553,30.142912593519927
J1354-0206,2005-05-12,2309.474375,113.65421329047143,0.3266017150363292,22.730842658094286,0.5929313290451828,0.40470119025067547,11.39515114551926,0.13166506540798367
J1354-0206,2005-05-12,8646.224375,10.185238001547532,0.03604750364334934,2.0370476003095064,0.5929313290451828,0.40470119025067547,1.350270481174365,18.71167739458152
J1354-0206,2005-12-14,2309.474375,67.76522113836566,0.08074064992588462,13.553044227673132,0.5929313290451828,0.40470119025067547,6.8263842532297065,0.3712043595605779
J1354-0206,2007-12-05,2309.474375,62.76325224324281,0.0967131955052783,12.552650448648562,0.5929313290451828,0.40470119025067547,6.330161167836465,0.43298095746056464
J1354-0206,2008-04-02,2309.474375,59.47073736091698,0.0792404063773304,11.894147472183397,0.5929313290451828,0.40470119025067547,6.003890231940777,0.4824755296446991
J1354-0206,2008-12-17,2305.49,42.062595585187466,0.11004404370823613,8.412519117037494,0.5929313290451828,0.40470119025067547,4.286590285983367,0.9688600601979891
J1354-0206,2008-12-17,8642.24,7.157861700475239,0.015218737232391418,1.431572340095048,0.5929313290451828,0.40470119025067547,1.1878431954275863,40.24658374584937
J1354-0206,2009-07-29,2305.49,58.76422037421093,0.10247743535035919,11.752844074842185,0.5929313290451828,0.40470119025067547,5.93392163293842,0.49420126541831794
J1354-0206,2009-07-29,8642.24,12.224238447632665,0.02948095326423307,2.444847689526533,0.5929313290451828,0.40470119025067547,1.4988352479670852,12.545961089573604
J1354-0206,2010-06-23,2309.45875,77.35826849512772,0.06866939882861514,15.471653699025545,0.5929313290451828,0.40470119025067547,7.779505682663245,0.28461516310958335
J1354-0206,2010-06-23,8646.20875,11.135979325456349,0.01217159902474416,2.2271958650912698,0.5929313290451828,0.40470119025067547,1.417021529488219,15.377130657162892
J1354-0206,2010-12-05,8645.9275,5.698075709569504,0.046701876391427005,1.1396151419139007,0.5929313290451828,0.40470119025067547,1.1628005522073694,61.261005102364436
J1354-0206,2010-12-26,8645.9275,6.9081375093529385,0.014577914489201732,1.3816275018705877,0.5929313290451828,0.40470119025067547,1.17993529749303,43.25333499319609
J1354-0206,2011-02-27,8354.99,73.26849763084631,0.03280757706750782,14.653699526169262,0.5929313290451828,0.40470119025067547,7.372966702992864,0.31737408548358825
J1354-0206,2011-06-28,2309.474375,96.80958287395117,0.13148139612412876,19.361916574790236,0.5929313290451828,0.40470119025067547,9.715861019150587,0.1815560511567399
J1354-0206,2011-06-28,8646.224375,18.09792991498633,0.031010071351801505,3.619585982997266,0.5929313290451828,0.40470119025067547,1.9964949468206195,5.439718723251264
J1354-0206,2012-01-09,8354.99,10.6569375177871,0.005370739527046972,2.13138750355742,0.5929313290451828,0.40470119025067547,1.3827565943419313,16.935813908591733
J1354-0206,2012-06-27,2305.49,100.38722873216382,0.153110011979902,20.077445746432765,0.5929313290451828,0.40470119025067547,10.07238172549353,0.16882548862048227
J1354-0206,2013-02-22,4344.0,63.7133665621939,0.16251977295259382,12.742673312438779,0.5929313290451828,0.40470119025067547,6.4243697807382425,0.4201128173174541
J1354-0206,2013-02-22,7624.0,31.85517346848285,0.09593722671273384,6.371034693696569,0.5929313290451828,0.40470119025067547,3.291588623017956,1.7006050236782408
J1354-0206,2013-03-26,4359.96875,22.23847690383627,0.05244536509928571,4.447695380767254,0.5929313290451828,0.40470119025067547,2.3757879027020943,3.546549642555783
J1354-0206,2013-07-08,4344.0,53.86418713176599,0.13089699449615508,10.772837426353197,0.5929313290451828,0.40470119025067547,5.4491490555865285,0.588728257678527
J1354-0206,2013-07-08,7624.0,20.08305770696109,0.05705375028046548,4.016611541392218,0.5929313290451828,0.40470119025067547,2.1765530043450485,4.379316595687893
J1354-0206,2013-07-24,2305.49,84.58999914543324,0.14760969049098635,16.917999829086646,0.5929313290451828,0.40470119025067547,8.498944576282815,0.23792578649420007
J1354-0206,2013-07-24,8642.24,7.021630814558359,0.011398132294777255,1.4043261629116717,0.5929313290451828,0.40470119025067547,1.1833787693274491,41.85620700312921
J1354-0206,2013-09-11,2305.49,58.78551506595175,0.10968071100402602,11.75710301319035,0.5929313290451828,0.40470119025067547,5.936030273237218,0.4938416181577738
J1354-0206,2014-01-04,2291.875,260.2037493116379,0.46089338545552344,52.04074986232759,0.5929313290451828,0.40470119025067547,26.03336059686364,0.025094231618163227
J1354-0206,2014-01-04,8667.875,6.2085620873184135,0.010790376411512953,1.2417124174636827,0.5929313290451828,0.40470119025067547,1.1650915493608711,53.00598877057044
J1354-0206,2014-02-18,4344.0,38.68222137966509,0.08070380408293046,7.736444275933017,0.5929313290451828,0.40470119025067547,3.9555728324688797,1.1474846819292328
J1354-0206,2014-04-01,2305.25,70.8219314747044,0.1290984766143881,14.16438629494088,0.5929313290451828,0.40470119025067547,7.1299032117407855,0.33975223071326105
J1354-0206,2014-04-01,8635.75,9.500084140525503,0.01593277965762731,1.9000168281051006,0.5929313290451828,0.40470119025067547,1.3056809378351988,21.82158745696413
J1354-0206,2014-08-09,2291.875,48.736606896296045,0.050621507658843566,9.747321379259208,0.5929313290451828,0.40470119025067547,4.942990893712093,0.7200087197772838
J1354-0206,2014-08-09,8667.875,5.714775067522905,0.004595073675138949,1.142955013504581,0.5929313290451828,0.40470119025067547,1.1627376810346748,60.97859307288398
J1354-0206,2014-12-20,2291.875,37.86495497300684,0.05094007975593561,7.572990994601367,0.5929313290451828,0.40470119025067547,3.8757315443213916,1.1981113371378636
J1354-0206,2014-12-20,8667.875,7.506245495866502,0.008941293351597747,1.5012490991733005,0.5929313290451828,0.40470119025067547,1.200772217188103,36.45363820068465
J1354-0206,2015-09-29,4344.0,25.40563325888919,0.028206149515433224,5.081126651777837,0.5929313290451828,0.40470119025067547,2.673562132412506,2.6975086578671585
J1354-0206,2015-09-29,7624.0,8.832152758960765,0.00622199850167182,1.766430551792153,0.5929313290451828,0.40470119025067547,1.2657855274103627,25.629274067012584
J1354-0206,2016-02-17,4344.0,22.19760453788493,0.0473937201998972,4.439520907576986,0.5929313290451828,0.40470119025067547,2.3719804330498304,3.5600321795450323
J1354-0206,2016-02-17,7624.0,7.480733138859924,0.01714504540335861,1.4961466277719848,0.5929313290451828,0.40470119025067547,1.199756168986899,36.71613231616584
J1354-0206,2016-03-22,2276.0,84.6706054685795,0.19646702517134942,16.9341210937159,0.5929313290451828,0.40470119025067547,8.506967181323462,0.23747197097517547
J1354-0206,2016-03-22,8652.0,7.145467251872248,0.014923507319366067,1.4290934503744497,0.5929313290451828,0.40470119025067547,1.1874225754715957,40.39002192523544
J1354-0206,2016-06-28,4344.0,20.36138950519923,0.04107520772066478,4.072277901039846,0.5929313290451828,0.40470119025067547,2.202086313863933,4.256030611636361
J1354-0206,2016-06-28,7624.0,6.637872467223999,0.01037542108916281,1.3275744934447997,0.5929313290451828,0.40470119025067547,1.1728236765562654,46.78915596223331
J1354-0206,2016-09-14,2305.25,49.70345681987097,0.09900483939504744,9.940691363974194,0.5929313290451828,0.40470119025067547,5.03832724943931,0.6920889634353591
J1354-0206,2016-09-14,8635.75,7.685018811852499,0.011350542269133105,1.5370037623705,0.5929313290451828,0.40470119025067547,1.2081779555231495,34.678951733805974
J1354-0206,2017-02-24,2252.0,76.19689907632281,0.07860440031703912,15.239379815264561,0.5929313290451828,0.40470119025067547,7.664034479962234,0.29338163955744867
J1354-0206,2017-02-24,8652.0,7.67604309746666,0.008797024036308642,1.5352086194933319,0.5929313290451828,0.40470119025067547,1.207794504030928,34.76540359896133
J1354-0206,2017-06-10,2291.875,67.43858698441778,0.15413827842667732,13.487717396883557,0.5929313290451828,0.40470119025067547,6.793962341674828,0.374821664326345
J1354-0206,2017-06-10,8667.875,5.546851596976143,0.013702738221116024,1.1093703193952287,0.5929313290451828,0.40470119025067547,1.163844940401001,63.848513950439184
J1354-0206,2017-06-28,2305.25,57.201210678257766,0.08459302514011896,11.440242135651554,0.5929313290451828,0.40470119025067547,5.779191826334959,0.5217129567205606
J1354-0206,2017-06-28,8635.75,9.923448811814657,0.01782468107479231,1.9846897623629316,0.5929313290451828,0.40470119025067547,1.3328433274862772,19.818306870994203
J1354-0206,2017-07-09,2291.875,47.41796513139559,0.057891645445705124,9.483593026279117,0.5929313290451828,0.40470119025067547,4.813054714393982,0.7609010153877515
